Country,2022[1],2021[1],2020[1],2019[1],2018[1],2017[1],2016[1],2015[1],2014[1],2013[1],2012[1],2011[1],2010[1],2009[1],2008[1],2007[1],2006[1],2005[1],2004[1],2003[1],2002[1],2001[1],2000[1],1999[1],1998[1],1997[1],1996[1]
Turkey,19.8,17.7,20.5,19.0,20.0,21.5,20.6,22.6,19.0,22.1,20.1,21.8,19.7,20.6,17.8,17.2,20.0,21.5,21.0,19.0,19.5,19.0,21.0,18.0,21.0,18.7,18.5
Kazakhstan,16.4,11.8,14.3,11.5,13.9,14.8,15.0,13.7,13.0,13.9,9.8,22.7,9.6,17.1,12.5,16.5,13.5,11.2,9.9,11.5,12.7,12.7,9.1,11.2,4.7,9.0,7.7
United Kingdom,15.5,14.0,9.7,16.2,13.6,14.8,14.4,16.4,16.6,11.9,13.3,15.3,14.9,14.1,17.2,13.2,14.8,14.9,15.5,14.3,16.0,11.6,16.7,14.9,15.4,15.0,16.1
Poland,13.2,11.9,12.5,10.8,9.6,11.7,10.8,11.0,11.6,9.5,8.6,9.3,9.4,9.8,9.3,8.3,7.1,8.8,9.9,7.9,9.3,9.3,8.5,9.1,9.5,8.2,8.6
Brazil,10.3,7.9,6.3,5.6,5.5,4.3,6.8,5.5,6.3,5.7,4.4,5.7,6.2,5.1,6.0,4.1,2.5,4.7,5.8,6.2,3.1,3.4,1.7,2.5,2.3,2.5,3.3
Iran,10.0,10.1,10.4,14.5,13.0,12.7,14.6,11.5,10.6,9.3,8.8,8.7,12.1,12.1,7.0,15.9,14.7,14.3,14.6,13.4,12.5,9.5,8.1,8.7,12.0,10.0,10.0
Egypt,9.7,9.8,9.1,8.6,8.3,8.4,9.3,9.6,8.8,9.5,8.8,8.4,7.2,8.5,8.0,7.4,8.3,8.1,7.2,6.8,6.6,6.3,6.6,6.3,6.1,5.8,5.7
Romania,8.7,10.4,6.4,10.3,10.1,10.0,8.4,8.0,7.6,7.3,5.3,7.1,5.8,5.2,7.2,3.0,5.5,7.3,7.8,2.5,4.4,7.7,4.4,4.7,5.2,7.2,3.1
Ethiopia,7.0,5.8,5.5,5.3,4.8,4.6,4.5,4.7,4.2,3.9,3.4,2.9,2.9,3.1,2.3,2.5,2.2,2.2,1.6,1.6,1.4,1.6,1.2,1.1,1.1,1.1,1.2
Italy,6.6,7.3,6.7,6.7,7.1,7.0,8.0,7.4,7.1,7.3,7.7,6.6,6.8,6.5,8.9,7.2,7.2,7.7,8.6,6.2,7.5,6.4,7.5,7.7,8.3,6.8,8.0
Spain,6.5,8.6,8.1,6.0,8.3,4.9,7.9,6.4,6.5,7.7,5.2,6.9,5.9,4.8,6.7,6.4,5.5,4.0,7.1,6.3,6.8,5.0,7.3,5.1,5.4,4.7,6.0
Bulgaria,6.4,7.3,4.8,6.3,6.0,6.1,5.7,5.0,5.3,5.5,4.5,4.5,4.1,4.0,4.6,2.4,3.3,3.5,4.0,2.0,4.1,4.1,2.8,2.6,3.2,3.6,1.8
Uzbekistan,6.3,6.0,6.2,6.1,5.4,6.1,6.9,7.0,7.0,6.8,6.6,6.5,6.7,6.6,6.1,6.2,6.1,6.1,5.5,5.6,5.2,3.8,3.7,3.8,3.7,3.2,2.7
Czech Republic,5.2,5.0,4.9,4.8,4.4,4.7,5.5,5.3,5.4,4.7,3.5,4.9,4.2,4.4,4.6,3.9,3.5,4.1,5.0,2.6,3.9,4.5,4.1,4.0,3.8,3.6,3.7
Lithuania,4.5,4.2,4.8,3.8,2.8,3.9,3.8,4.4,3.2,2.9,3.0,1.9,1.7,2.1,1.7,1.4,0.8,1.4,1.4,1.2,1.2,1.1,1.2,0.9,1.0,1.1,0.9
Hungary,4.4,5.3,5.1,5.4,5.3,5.2,5.6,5.3,5.3,5.1,4.0,4.1,3.7,4.4,5.6,4.0,4.4,5.1,6.0,2.9,3.9,5.2,3.7,2.6,4.9,5.3,3.9
Denmark,4.2,4.0,4.1,4.6,2.6,4.8,4.2,5.0,5.2,4.1,4.5,4.8,5.1,5.9,5.0,4.5,4.8,4.9,4.8,4.7,4.1,4.7,4.7,4.5,4.9,5.0,4.8
Afghanistan,3.8,4.0,5.2,4.9,3.6,4.3,4.6,4.7,5.4,5.2,5.1,3.4,4.5,5.1,2.6,4.5,3.4,4.3,2.4,3.5,2.7,1.6,1.5,2.5,2.8,2.7,2.3
Mexico,3.6,3.3,3.0,3.2,2.9,3.5,3.9,3.7,3.7,3.4,3.3,3.6,3.7,4.1,4.0,3.5,3.4,3.0,2.3,2.7,3.2,3.3,3.5,3.0,3.2,3.7,3.4
Sweden,3.2,3.0,3.2,3.5,1.6,3.3,2.8,3.3,3.1,1.9,2.3,2.3,2.1,2.3,2.2,2.3,2.0,2.2,2.4,2.3,2.1,2.4,2.4,1.7,2.2,2.1,2.0
Serbia,3.1,3.4,2.9,2.5,2.9,2.3,2.9,2.4,2.4,2.7,2.4,2.1,1.6,2.1,2.1,1.9,1.9,2.7,2.8,1.4,2.3,2.5,2.3,2.1,2.9,3.1,1.5
Algeria,3.0,2.2,3.1,3.9,4.0,2.4,2.4,2.7,2.4,3.3,3.4,2.9,2.6,3.0,1.1,2.3,2.7,2.4,2.7,3.0,1.5,2.0,0.8,1.5,2.3,0.7,3.0
Iraq,2.8,4.2,6.2,4.3,2.2,3.0,3.1,2.6,5.1,4.2,3.1,2.8,2.7,1.7,1.3,2.2,2.1,2.2,1.8,2.3,2.6,0.9,0.4,0.8,1.1,1.1,1.3
Morocco,2.7,7.5,2.6,4.0,7.3,7.1,2.7,8.1,5.1,6.9,3.9,6.0,4.9,6.4,3.8,1.6,6.3,3.0,5.5,5.1,3.4,3.3,1.4,2.2,4.4,2.3,5.9
Latvia,2.5,2.4,2.7,2.4,1.4,2.1,2.1,2.3,1.5,1.4,1.5,0.9,1.0,1.0,1.0,0.8,0.6,0.7,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4
Belarus,2.4,2.4,2.8,2.3,1.8,2.6,2.3,2.9,2.9,2.1,2.6,2.1,1.7,2.0,2.0,1.4,1.1,1.2,1.1,0.8,1.0,0.9,1.0,0.7,0.8,0.7,0.6
Nepal,2.1,2.1,2.2,2.0,1.9,1.9,1.7,2.0,1.9,1.7,1.8,1.7,1.6,1.3,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.1,1.0,1.1,1.0
South Africa,2.1,2.3,2.1,1.5,1.9,1.5,1.9,1.4,1.8,1.9,1.9,2.0,1.4,2.0,2.1,1.9,2.1,1.9,1.7,1.5,2.4,2.5,2.4,1.7,1.9,2.4,2.7
Slovakia,2.0,2.0,2.1,1.9,1.9,1.8,2.4,2.1,2.1,1.7,1.3,1.6,1.2,1.5,1.8,1.4,1.3,1.6,1.8,0.9,1.6,1.8,1.3,1.2,1.8,1.9,1.7
